Firm,Investment Stage,Minimum Investment,Maximum Investment,Location,Country,Fund Size,Link
"Pacifica Fund","Early Stage/Startup/Seed","","","Los Altos, California","United States","","http://venture-capital-firms.findthebest.com/l/766/Pacifica-Fund"
"Edison Venture Fund-New York-New York","Expansion","5000000.0","10000000.0","New York, New York","United States","249000000.0","http://venture-capital-firms.findthebest.com/l/429/Edison-Venture-Fund-New-York-New-York"
"Palomar Ventures-San Mateo-California","Early Stage/Startup/Seed","2000000.0","10000000.0","San Mateo, California","United States","500000000.0","http://venture-capital-firms.findthebest.com/l/851/Palomar-Ventures-San-Mateo-California"
"Advantage Capital Partners-Madison-Wisconsin","Early Stage/Expansion/Later Stage","","10000000000.0","Madison, Wisconsin","United States","8000000000.0","http://venture-capital-firms.findthebest.com/l/397/Advantage-Capital-Partners-Madison-Wisconsin"
"Advantage Capital Partners-Greenwood Village-Colorado","Early Stage/Expansion/Later Stage","","10000000000.0","Greenwood Village, Colorado","United States","8000000000.0","http://venture-capital-firms.findthebest.com/l/391/Advantage-Capital-Partners-Greenwood-Village-Colorado"
"Warburg Pincus-Beijing-China","Later Stage/Early Stage/Expansion/Startup/Seed","","2000000000.0","Beijing","China","30000000000.0","http://venture-capital-firms.findthebest.com/l/381/Warburg-Pincus-Beijing-China"
"Clarus Ventures - South San Francisco - California","Early Stage","","20000000000.0","South San Francisco, California","United States","1200000000.0","http://venture-capital-firms.findthebest.com/l/557/Clarus-Ventures-South-San-Francisco-California"
"Arboretum Ventures-Ann Arbor-Michigan","Early Stage/Startup/Seed","","","Ann Arbor, Michigan","United States","","http://venture-capital-firms.findthebest.com/l/403/Arboretum-Ventures-Ann-Arbor-Michigan"
"Technology Crossover Ventures-Palo Alto-California","Later Stage","20000000000.0","2e+11","Palo Alto, California","United States","7700000000.0","http://venture-capital-firms.findthebest.com/l/116/Technology-Crossover-Ventures-Palo-Alto-California"
"Great Oaks Venture Capital","Startup/Seed/Early Stage","","","New York, New York","United States","","http://venture-capital-firms.findthebest.com/l/1282/Great-Oaks-Venture-Capital"
"Fontinalis Partners","Early Stage","","","Detroit, Michigan","United States","","http://venture-capital-firms.findthebest.com/l/1273/Fontinalis-Partners"
"Longworth Venture Partners, L.P.","Early Stage/Startup/Seed/Later Stage","","","Waltham, Massachusetts","United States","","http://venture-capital-firms.findthebest.com/l/833/Longworth-Venture-Partners-L-P"
"Heron Capital","Expansion/Later Stage","","","Carmel, Indiana","United States","","http://venture-capital-firms.findthebest.com/l/1293/Heron-Capital"
"Adams Capital Management, Inc. - Pittsburgh","Early Stage","","10000000.0","Sewickley, Pennsylvania","United States","815000000.0","http://venture-capital-firms.findthebest.com/l/12/Adams-Capital-Management-Inc-Pittsburgh"
"High Street Capital","Expansion/Later Stage","","","Chicago, Illinois","United States","","http://venture-capital-firms.findthebest.com/l/1091/High-Street-Capital"
"Wynnchurch Capital, Ltd. - Dallas - Texas","Expansion","10000000000.0","90000000000.0","Dallas, Texas","United States","1000000000.0","http://venture-capital-firms.findthebest.com/l/958/Wynnchurch-Capital-Ltd-Dallas-Texas"
"Flywheel Ventures-Santa Fe-New Mexico","Early Stage/Startup/Seed","","1000000.0","Santa Fe, New Mexico","United States","35000000.0","http://venture-capital-firms.findthebest.com/l/189/Flywheel-Ventures-Santa-Fe-New-Mexico"
"New Enterprise Associates-Chevy Chase-Maryland","Later Stage/Expansion/Early Stage/Startup/Seed","","1e+11","Chevy Chase, Maryland","United States","13000000000.0","http://venture-capital-firms.findthebest.com/l/209/New-Enterprise-Associates-Chevy-Chase-Maryland"
"North Hill Ventures","Early Stage","2000000.0","3000000.0","Boston, Massachusetts","United States","100000000.0","http://venture-capital-firms.findthebest.com/l/1349/North-Hill-Ventures"
"Zone Ventures","Early Stage/Startup/Seed","","","Menlo Park, California","United States","","http://venture-capital-firms.findthebest.com/l/58/Zone-Ventures"
"Argosy Capital","","","","Wayne, Pennsylvania","United States","","http://venture-capital-firms.findthebest.com/l/1020/Argosy-Capital"
"ABS Capital Partners - San Francisco","Expansion/Later Stage","10000000000.0","50000000000.0","San Francisco, California","United States","2500000000.0","http://venture-capital-firms.findthebest.com/l/18/ABS-Capital-Partners-San-Francisco"
"Capnamic Ventures","Startup/Seed/Early Stage/Growth","","","Cologne, North Rhine-Westphalia","Germany","","http://venture-capital-firms.findthebest.com/l/1432/Capnamic-Ventures"
"Mission Ventures-Santa Monica-California","Early Stage","","","Santa Monica, California","United States","","http://venture-capital-firms.findthebest.com/l/258/Mission-Ventures-Santa-Monica-California"
"Carlyle Group, The - Chengdu - China","Expansion/Early Stage","","","Chengdu","China","1.7e+11","http://venture-capital-firms.findthebest.com/l/908/Carlyle-Group-The-Chengdu-China"
"Ridgewood Capital - Ridgewood - New Jersey","Early Stage","","5000000000.0","Montvale, New Jersey","United States","2700000000.0","http://venture-capital-firms.findthebest.com/l/112/Ridgewood-Capital-Ridgewood-New-Jersey"
"Warburg Pincus-London-United Kingdom","Later Stage/Early Stage/Expansion/Startup/Seed","","2000000000.0","London","United Kingdom","30000000000.0","http://venture-capital-firms.findthebest.com/l/378/Warburg-Pincus-London-United-Kingdom"
"Salix Ventures-Andover-Massachusetts","Early Stage","","","Andover, Massachusetts","United States","180000000.0","http://venture-capital-firms.findthebest.com/l/664/Salix-Ventures-Andover-Massachusetts"
"Monitor Venture Associates","Early Stage","","","Los Angeles, California","United States","2000000000.0","http://venture-capital-firms.findthebest.com/l/1335/Monitor-Venture-Associates"
"Aberdare Ventures","Early Stage","1000000.0","15000000.0","San Francisco, California","United States","400000000.0","http://venture-capital-firms.findthebest.com/l/14/Aberdare-Ventures"
"Mayfield Fund- India","Early Stage/Expansion/Later Stage/Startup/Seed","","20000000000.0","Mumbai, Maharashtra","India","3000000000.0","http://venture-capital-firms.findthebest.com/l/808/Mayfield-Fund-India"
"Benchmark Capital-Herzliya-Israel","Early Stage","2000000.0","80000000.0","Herzliya","Israel","425000000.0","http://venture-capital-firms.findthebest.com/l/1158/Benchmark-Capital-Herzliya-Israel"
"Wavepoint Ventures-El Dorado Hills-California","Early Stage","","","El Dorado Hills, California","United States","","http://venture-capital-firms.findthebest.com/l/736/Wavepoint-Ventures-El-Dorado-Hills-California"
"Life Science Ventures - Germany","Early Stage","","","München","Germany","","http://venture-capital-firms.findthebest.com/l/1128/Life-Science-Ventures-Germany"
"Archtop Ventures, LLC","Growth/Expansion/Later Stage","","","","","","http://venture-capital-firms.findthebest.com/l/1438/Archtop-Ventures-LLC"
"Benhamou Global Ventures","Startup/Seed","","","Palo Alto, California","United States","","http://venture-capital-firms.findthebest.com/l/1209/Benhamou-Global-Ventures"
"Egan-Managed Capital","Early Stage","1000000.0","6000000.0","Boston, Massachusetts","United States","242000000.0","http://venture-capital-firms.findthebest.com/l/426/Egan-Managed-Capital"
"Carlyle Group, The - Denver - Colorado","Expansion/Early Stage","","","Denver, Colorado","United States","1.7e+11","http://venture-capital-firms.findthebest.com/l/457/Carlyle-Group-The-Denver-Colorado"
"Foundation Capital-Menlo Park-California","Early Stage/Startup/Seed","","","Menlo Park, California","United States","","http://venture-capital-firms.findthebest.com/l/193/Foundation-Capital-Menlo-Park-California"
"Accel Partners-Hong Kong","Early Stage/Expansion/Growth/Startup/Seed","","","Hong Kong","Hong Kong","","http://venture-capital-firms.findthebest.com/l/1154/Accel-Partners-Hong-Kong"
"Bullpen Capital","Early Stage/Startup/Seed","","","Menlo Park, California","United States","","http://venture-capital-firms.findthebest.com/l/1220/Bullpen-Capital"
"HCI Equity Partners - Washington - District of Columbia","Expansion","","","Washington, District of Columbia","United States","","http://venture-capital-firms.findthebest.com/l/603/HCI-Equity-Partners-Washington-District-of-Columbia"
"Split Rock Partners - Minneapolis - Minnesota","Startup/Seed/Early Stage/Expansion/Later Stage","","15000000000.0","Eden Prairie, Minnesota","United States","1000000000.0","http://venture-capital-firms.findthebest.com/l/315/Split-Rock-Partners-Minneapolis-Minnesota"
"Technology Investments","Startup/Seed","","","Los Altos, California","United States","","http://venture-capital-firms.findthebest.com/l/1392/Technology-Investments"
"IDG Ventures SF","Early Stage","1000000000.0","5000000000.0","San Francisco, California","United States","3700000000.0","http://venture-capital-firms.findthebest.com/l/1095/IDG-Ventures-SF"
"Warburg Pincus-Mumbai-India","Later Stage/Early Stage/Expansion/Startup/Seed","","2000000000.0","Mumbai, Maharashtra","India","30000000000.0","http://venture-capital-firms.findthebest.com/l/382/Warburg-Pincus-Mumbai-India"
"Chart Venture Partners-Picatinny Arsenal-New Jersey","Early Stage","","5000000.0","Picatinny Arsenal, New Jersey","United States","100000000.0","http://venture-capital-firms.findthebest.com/l/721/Chart-Venture-Partners-Picatinny-Arsenal-New-Jersey"
"Novak Biddle Venture Partners","Later Stage/Early Stage","","10000000.0","Bethesda, Maryland","United States","580000000.0","http://venture-capital-firms.findthebest.com/l/661/Novak-Biddle-Venture-Partners"
"Altira Group LLC","","","","Denver, Colorado","United States","","http://venture-capital-firms.findthebest.com/l/1001/Altira-Group-LLC"
"Landmark Partners LLC - Boston","Expansion","","","Simsbury, Connecticut","United States","9100000000.0","http://venture-capital-firms.findthebest.com/l/1106/Landmark-Partners-LLC-Boston"
"ProQuest Investments","Startup/Seed/Early Stage/Expansion/Later Stage","","25000000.0","Princeton, New Jersey","United States","900000000.0","http://venture-capital-firms.findthebest.com/l/1365/ProQuest-Investments"
"Technology Crossover Ventures-Millburn-New Jersey","Later Stage","20000000000.0","2e+11","Millburn, New Jersey","United States","7700000000.0","http://venture-capital-firms.findthebest.com/l/114/Technology-Crossover-Ventures-Millburn-New-Jersey"
"SAP Ventures","Later Stage/Expansion/Early Stage/Startup/Seed","","","Palo Alto, California","United States","","http://venture-capital-firms.findthebest.com/l/889/SAP-Ventures"
"G-51 Capital LLC","Early Stage/Startup/Seed","","3000000.0","Austin, Texas","United States","150000000.0","http://venture-capital-firms.findthebest.com/l/498/G-51-Capital-LLC"
"Radius Ventures LLC","Later Stage/Expansion/Early Stage","","","New York, New York","United States","","http://venture-capital-firms.findthebest.com/l/584/Radius-Ventures-LLC"
"Pearl Street Venture Funds","Early Stage/Startup/Seed","","","Indianapolis, Indiana","United States","","http://venture-capital-firms.findthebest.com/l/710/Pearl-Street-Venture-Funds"
"Hercules Technology Growth Capital, Inc - Westminster - Colorado","Early Stage/Expansion/Startup/Seed","","","Westminster, Colorado","United States","3400000000.0","http://venture-capital-firms.findthebest.com/l/154/Hercules-Technology-Growth-Capital-Inc-Westminster-Colorado"
"BlueRun Ventures-Seoul-Korea","Early Stage","","","Seocho-Gu, Seoul","Korea, Republic of","","http://venture-capital-firms.findthebest.com/l/223/BlueRun-Ventures-Seoul-Korea"
"Psilos Group Managers","Expansion","8000000.0","25000000.0","New York, New York","United States","580000000.0","http://venture-capital-firms.findthebest.com/l/1366/Psilos-Group-Managers"
"Knightsbridge Advisers - Bartlesville - Oklahoma","Early Stage","","","Bartlesville, Oklahoma","United States","213000000.0","http://venture-capital-firms.findthebest.com/l/1130/Knightsbridge-Advisers-Bartlesville-Oklahoma"
"SEP","Expansion/Early Stage/Startup/Seed","","","London","United Kingdom","","http://venture-capital-firms.findthebest.com/l/791/SEP"
"D. E. Shaw Group, The-Queen's Road Central-Hong Kong","Early Stage","","20000000000.0","Hong Kong","Hong Kong","28000000000.0","http://venture-capital-firms.findthebest.com/l/444/D-E-Shaw-Group-The-Queen-s-Road-Central-Hong-Kong"
"New Enterprise Associates-Bangalore-India","Later Stage/Expansion/Early Stage/Startup/Seed","","1e+11","Bangalore, Karnataka","India","13000000000.0","http://venture-capital-firms.findthebest.com/l/214/New-Enterprise-Associates-Bangalore-India"
"Sequoia Capital- Israel","Early Stage/Expansion/Startup/Seed","","10000000000.0","Herzliya","Israel","2400000000.0","http://venture-capital-firms.findthebest.com/l/802/Sequoia-Capital-Israel"
"Alsop Louie Partners","Early Stage","","5000000.0","San Francisco, California","United States","99000000.0","http://venture-capital-firms.findthebest.com/l/873/Alsop-Louie-Partners"
"Skymoon Ventures","Early Stage","","","San Jose, California","United States","","http://venture-capital-firms.findthebest.com/l/1380/Skymoon-Ventures"
"Needham Capital Partners-Menlo Park-California","Early Stage","","","Menlo Park, California","United States","","http://venture-capital-firms.findthebest.com/l/204/Needham-Capital-Partners-Menlo-Park-California"
"TI Ventures","Expansion","","","Dallas, Texas","United States","","http://venture-capital-firms.findthebest.com/l/1397/TI-Ventures"
"JatoTech Ventures","Early Stage","","","Austin, Texas","United States","","http://venture-capital-firms.findthebest.com/l/1134/JatoTech-Ventures"
"Carlyle Group, The - Houston- Texas","Expansion/Early Stage","50000000000.0","","Houston, Texas","United States","1.7e+11","http://venture-capital-firms.findthebest.com/l/910/Carlyle-Group-The-Houston-Texas"
"El Dorado Ventures-Minnetonka-Minnesota","Early Stage/Startup/Seed","","10000000.0","Minnetonka, Minnesota","United States","750000000.0","http://venture-capital-firms.findthebest.com/l/290/El-Dorado-Ventures-Minnetonka-Minnesota"
"Kohlberg Ventures","Early Stage","","","Portola Valley, California","United States","","http://venture-capital-firms.findthebest.com/l/1311/Kohlberg-Ventures"
"Carlyle Group, The - Spain","Expansion/Early Stage","","","Barcelona","Spain","1.7e+11","http://venture-capital-firms.findthebest.com/l/452/Carlyle-Group-The-Spain"
"Bertram Capital","Later Stage/Expansion","25000000.0","100000000.0","San Mateo, California","United States","850000000.0","http://venture-capital-firms.findthebest.com/l/1029/Bertram-Capital"
"Prism Capital","Later Stage/Expansion","1000000.0","15000000.0","Chicago, Illinois","United States","190000000.0","http://venture-capital-firms.findthebest.com/l/758/Prism-Capital"
"Charles River Ventures - Menlo Park - California","Early Stage","","10000000000.0","Menlo Park, California","United States","2100000000.0","http://venture-capital-firms.findthebest.com/l/484/Charles-River-Ventures-Menlo-Park-California"
"DFJ Frontier- Los Angeles","Early Stage/Startup/Seed","","1000000000.0","Sherman Oaks, California","United States","5000000000.0","http://venture-capital-firms.findthebest.com/l/797/DFJ-Frontier-Los-Angeles"
"Carlyle Group, The - Cairo - Egypt","Expansion/Early Stage","","","Cairo","Egypt","1.7e+11","http://venture-capital-firms.findthebest.com/l/455/Carlyle-Group-The-Cairo-Egypt"
"Boulder Ventures, Ltd.","Early Stage","","10000000.0","Chevy Chase, Maryland","United States","300000000.0","http://venture-capital-firms.findthebest.com/l/358/Boulder-Ventures-Ltd"
"Paladin Capital Group","Later Stage/Expansion/Early Stage","","10000000.0","Washington, District of Columbia","United States","950000000.0","http://venture-capital-firms.findthebest.com/l/836/Paladin-Capital-Group"
"Cressey &amp; Company LP-Nashville-Tennessee","Later Stage","10000000000.0","1e+11","Nashville, Tennessee","United States","1000000000.0","http://venture-capital-firms.findthebest.com/l/87/Cressey-And-Company-LP-Nashville-Tennessee"
"H.I.G. Capital Ventures LLC-London-United Kingdom","Early Stage","15000000000.0","1e+11","London","United Kingdom","11500000000.0","http://venture-capital-firms.findthebest.com/l/532/H-I-G-Capital-Ventures-LLC-London-United-Kingdom"
"Carlyle Group, The - Paris - France","Expansion/Early Stage","","","Paris","France","1.7e+11","http://venture-capital-firms.findthebest.com/l/467/Carlyle-Group-The-Paris-France"
"Presidio Ventures","Startup/Seed/Early Stage/Expansion","","","Santa Clara, California","United States","","http://venture-capital-firms.findthebest.com/l/1364/Presidio-Ventures"
"Kinetic Ventures - Chevy Chase - Maryland","Early Stage/Startup/Seed/Expansion","","","Chevy Chase, Maryland","United States","","http://venture-capital-firms.findthebest.com/l/1133/Kinetic-Ventures-Chevy-Chase-Maryland"
"TEDCO","Startup/Seed/Early Stage/Expansion/Later Stage","","","Columbia, Maryland","United States","550000000.0","http://venture-capital-firms.findthebest.com/l/1393/TEDCO"
