Name,Markets Seeking,Locations Seeking
Louis Beryl,"Big Data,Bridging Online and Offline,Clean Technology,Collaborative Consumption,Consumer Internet,Crowdsourcing,Digital Media,E-Commerce,Education,Enterprise Software,Enterprises,Families,Fashion,Financial Services,Fitness,Hardware,Investment Management,Marketplaces,Mobile,Personal Finance,SaaS,Sales and Marketing,Tablets,Visualization,Women-Focused","Austin,Boston,Los Angeles,Menlo Park,New York,Seattle,Silicon Valley,Washington DC"
David Frankel,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile",Boston
"Andrew K. Boszhardt, Jr.",,
Furkan Anarat,,
Duncan Anderson,,
Mike Satterfield,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile",
Eileen Burbidge,"Analytics,B2B,Consumer Internet,Information Technology,Mobile,Real Time,Social Commerce,Sports","Europe,London"
Keith Lee,"Analytics,Collaboration,Consumer Internet,Design,E-Commerce,Education,Enterprise Software,Food and Beverages,Games,Health Care,Human Resources,Marketplaces,Mobile Games,Mobile Health,Physicians,Recruiting,Retail,Sales and Marketing,Small and Medium Businesses,Social Media,Social News,Venture Capital,Video,Video Games,Video Streaming","Los Angeles,New York,Palo Alto,San Francisco,Silicon Valley"
Alex Stamos,"Big Data,Cloud Computing,E-Commerce,Enterprise Security,Enterprise Software,Mobile,Mobile Commerce,Mobile Enterprise,Security","Berkeley,Burlingame,Oakland,Palo Alto,San Carlos CA,San Francisco,San Jose,San Mateo,Silicon Valley"
Tom Egan,"All Markets,Clean Technology,Consumer Internet,Enterprise Software,Life Sciences,Mobile,Social Media Marketing","Boston,Boulder,Chicago,Los Angeles,Massachusetts,New York,Silicon Valley"
Shakti Chauhan,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile",
Wouter Gort,"All Markets,Big Data,Business Productivity,CRM,Cars,Classifieds,Consumer Internet,Digital Media,Enterprise Software,Flowers,Marketplaces,Mobile,Mobile Commerce,Mobile Payments,Online Rental,Online Travel,Peer-to-Peer,SaaS,Social Commerce,Subscription Businesses,Taxis,Virtual Workforces","Amsterdam,Austria,Belgium,Berlin,Bonn,Denmark,Earth,Eastern Europe,Egypt,Europe,France,Germany,Indonesia,Istanbul,Italy,Jakarta,Jordan,London,Los Angeles,Madrid,Moscow,Netherlands,New York City,North America,Northeastern States,Paris,Poland,Russia,San Francisco,Scandinavia,Silicon Valley,Singapore,South East US,Southern Europe,Stuttgart,Turkey,Ukraine,United Kingdom,Warsaw,Western Europe"
Jeff Pang,,"Menlo Park,San Francisco"
Tom Peterson,"Advertising,Analytics,Big Data,Bridging Online and Offline,Business Analytics,Cloud Data Services,Collaborative Consumption,Consumer Internet,Digital Media,E-Commerce,Enterprise Software,Enterprises,Finance Technology,Financial Services,Fraud Detection,Marketplaces,Mobile,Mobile Payments,Payments,Predictive Analytics,SaaS,Sales and Marketing,Social Commerce","Los Angeles,New York,Silicon Valley"
Bill Kaiser,Information Technology,Boston
Dave Wong,"All Markets,Consumer Internet,Mobile","Asia,North America,San Francisco,Silicon Valley,Singapore"
Chirag Chotalia,"Consumer Internet,E-Commerce,E-Commerce Platforms,Mobile,Mobile Games,Social Games,Social Media","Chicago,Los Angeles,New York City,San Francisco"
Logan LaHive,,
Ronny Conway,"Consumers,E-Commerce,Enterprises,Information Technology,Marketplaces,Retail,SaaS,Video Games","Menlo Park,New York City,Silicon Valley"
Ellie Wheeler,"Advertising,Automotive,B2B,Bridging Online and Offline,Collaborative Consumption,Consumer Internet,Content Discovery,Crowdsourcing,Digital Media,E-Commerce,E-Commerce Platforms,Enterprise Software,Facebook Applications,Food and Beverages,Health Care Information Technology,Healthcare Services,Hospitals,Marketplaces,Mobile,Photography,SaaS,Small and Medium Businesses,Social Commerce,Social Fundraising,Ventures for Good","Boston,Chicago,Los Angeles,New York,New York City,North America,Silicon Valley"
John Komkov,,
Paul Bragiel,"Big Data,Consumer Internet,Games,Location Based Services,Mobile,Social Commerce,Social Media Platforms","Chicago,San Francisco,Silicon Valley"
Jason Liang,,New York City
Dayna Grayson,"Advertising,Advertising Platforms,Analytics,B2B,Big Data,Cloud Computing,Consumer Internet,Digital Media,E-Commerce,Fashion,Marketplaces,Mobile,Mobile Advertising,Mobile Commerce,SaaS,Security,Small and Medium Businesses,Social Commerce,Social Games,Social Media","Boston,Cambridge MA,Los Angeles,New York City,San Francisco,Silicon Valley,Washington DC"
Gavin Teo,"Consumer Internet,Digital Media,E-Commerce,Gambling,Health Care Information Technology,Mobile Games,Social Games,Social Media Platforms",San Francisco
Orrett Davis,,"Miami,New York City,San Francisco,Seattle"
David Dacus,"Analytics,Apps,Bridging Online and Offline,Cloud Computing,Collaborative Consumption,Consumer Internet,Content Discovery,Crowdsourcing,Digital Media,Families,Kids,Marketplaces,Mobile,Mobile Video,Private Social Networking,Productivity Software,Professional Networking,Real Estate,Rental Housing,SMS,Social Media Marketing,Tablets,Venture Capital,Video,iPad","San Francisco,Silicon Valley,Tokyo"
Joseph Ansanelli,"Analytics,Big Data,Biotechnology,Business Intelligence,Cloud Data Services,Content,Developer Tools,Document Management,E-Commerce,Enterprise Security,Enterprise Software,Hardware,Location Based Services,Marketplaces,Mobile,Mobile Commerce,Mobile Enterprise,Mobile Payments,Mobile Security,Payments,Point of Sale,Predictive Analytics,SaaS,Storage,Synthetic Biology","New York,San Francisco,Silicon Valley"
Nicola Broom,,
Rob Coneybeer,Information Technology,"New York City,Palo Alto,San Francisco,Silicon Valley"
Igor Gonta,"Big Data,Finance,Finance Technology,Financial Services,Predictive Analytics,Social Media",New York City
Hugo Fozzati,,"Austin,Berlin,Boston,Hong Kong,London,Los Angeles,Madrid,New York City,San Francisco,Singapore"
Kate Ryder,,
David Popowitz,"Analytics,Cloud Data Services,Communications Infrastructure,Consumer Internet,Enterprise Software,Internet,Local,Local Businesses,Mobile,Mobile Commerce,Mobile Payments,Payments,Personal Health,Publishing,Small and Medium Businesses,Telecommunications,Ventures for Good,Web CMS","Massachusetts,New York City,North America,Palo Alto,Seattle,Silicon Valley"
Greg Goldfarb,"Consumer Internet,E-Commerce,Enterprise Software,Finance Technology,Financial Services,Hardware,Health Care,Mobile,SaaS","Austin,Boise,Boston,Denver,Los Angeles,New York City,Portland,Salt Lake City,San Diego,San Francisco,Seattle,Silicon Valley"
Rajeev Batra,"Analytics,Big Data,CRM,Cloud Computing,Consumer Internet,Enterprise Software,Freemium,Human Resources,Information Technology,Internet,Mobile,Mobile Enterprise,Productivity Software,Recruiting,SMS,SaaS,Sales and Marketing,Small and Medium Businesses,Social Media,Social Media Marketing,Social Media Monitoring,Social Media Platforms,Social Recruiting","North America,Northern California"
Philipp Hartmann,"Agriculture,Analytics,Big Data,Bitcoin,Consumer Internet,Consumer Lending,Finance,Financial Services,Marketplaces,Personal Finance,SaaS,Small and Medium Businesses","Berlin,Earth,Eastern Europe,Europe,Geneva,Germany,Hamburg,Munich,United States"
Enrique Godreau III,"Cloud Computing,Digital Media,Education,Mobile,Wireless","New York,Seattle,Silicon Valley"
Alex Gezelius,"Art,Bridging Online and Offline,Cloud Computing,Consumer Internet,Design,E-Commerce,Education,Finance,Financial Services,Food and Beverages,Games,Health and Wellness,Marketplaces,Mobile,Mobile Health,Payments,Real Estate,Social Commerce,Travel,Virtual Currency","Beijing,Brazil,China,Europe,Hong Kong,London,New York City,Shanghai,Silicon Valley,Stockholm"
Rob Theis,"Cloud Computing,Consumer Internet,Crowdsourcing,Digital Media,Enterprise Software,Infrastructure,Location Based Services,Mobile,SaaS,Security,Video","Los Altos Hills,North America,Silicon Valley"
Joseph Valente,,"Melbourne,New York City"
Juan Teijeiro,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile",
Carl Showalter,Information Technology,"North America,Silicon Valley"
