Name,Markets Seeking,Locations Seeking
Devdutt Yellurkar,"Big Data,Cloud Computing,Enterprise Software,Mobile,SaaS","Boston,Palo Alto,San Francisco"
Chris Dixon,"Consumer Internet,Deep Information Technology,Information Technology,Mobile","New York,New York City,San Francisco,Silicon Valley"
Carlos Pires,"Big Data,Consumer Internet,Crowdsourcing,Education,Food and Beverages,Internet Infrastructure,Investment Management,Mobile,Peer-to-Peer,Restaurants,Social Media,Venture Capital","Europe,Sao Paulo,Silicon Valley"
Li Jiang,"Analytics,Batteries,Big Data,Clean Technology,Consumer Internet,Content Discovery,Education,Energy Management,Energy Storage,Enterprise Software,Families,Financial Services,Food and Beverages,Investment Management,Marketplaces,Mobile,Real Estate,Rental Housing,Restaurants,Search,Social Commerce,Social Media,Social Media Platforms,Software,Visualization","Europe,Ghana,Kenya,Los Angeles,New York,Silicon Valley"
Steven Renwick,,"Accra,Berlin,Dundee,Oxford"
Shahin Farshchi,"Artificial Intelligence,Big Data,Big Data Analytics,Clean Technology,Cloud Computing,Communications Hardware,Consumer Electronics,Consumer Internet,Defense,Energy Efficiency,Energy Storage,Enterprise Software,Hardware,Health Care,Human Computer Interaction,Internet Infrastructure,Machine Learning,Manufacturing,Mobile,Networking,Robotics,SaaS,Semiconductor Manufacturing Equipment,Semiconductors,Storage","Boston,Irvine,Los Angeles,Mountain View,New York City,Palo Alto,San Diego,San Francisco,San Jose,Santa Clara CA,Santa Monica,United States,Waltham"
Sau Sheong Chang,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile","San Francisco,Singapore"
Ashley Cravens,,
Benjamin Burnside,,
Randall Lucas,,
Samuel Clemens,,Boston
Patrick Keane,"Collaborative Consumption,Consumer Internet,Content Delivery,E-Commerce,Email,Food and Beverages,Hardware,Health Care,Maps,Marketplaces,Messaging,Mobile,Mobile Commerce,Mobile Games,Mobile Health,Parenting,Private Social Networking,Restaurants,Robotics,SaaS,Search,Small and Medium Businesses,Social Commerce,Venture Capital","New York,New York City,Silicon Valley"
Marc Singer,,
Joel Cutler,,
Marie-Christine Balabanian,"Consumer Internet,Health Care,Mobile",
Donald Fischer,"Analytics,Automotive,Big Data,Big Data Analytics,Cloud Computing,Cloud Data Services,Cloud Management,Crowdsourcing,Databases,Deep Information Technology,Design,Development Platforms,E-Commerce Platforms,Email,Enterprise Security,Enterprise Software,Financial Services,Information Services,Information Technology,Infrastructure,Mobile Enterprise,Open Source,Operating Systems,Performance Marketing,Platforms,SaaS,Search,Security,Storage,Visualization,iOS,iPad,iPhone","Boston,New England,New York City,Northern California,Palo Alto,Silicon Valley,Switzerland"
Aaron Jacobson,"Analytics,Big Data,Bridging Online and Offline,CRM,Clean Technology,Cloud Computing,Cloud Infrastructure,Communications Infrastructure,Consumer Internet,Enterprise Software,Mobile,PaaS,SaaS,Semiconductors,Small and Medium Businesses,Wireless","Boulder,Los Angeles,New York,San Francisco,Silicon Valley"
alex maleki,,
Ben Jacobs,"Analytics,Consumer Internet,Consumers,Digital Media,Education,Electronics,Enterprise Software,Fantasy Sports,Finance,Finance Technology,Financial Services,Location Based Services,Marketplaces,Mobile,Mobile Games,Public Relations,Real Estate,Rental Housing,Retail Technology,Search,Sensors,Social Commerce,Social Games,Sports,Technical Continuing Education","China,Japan,Los Angeles,New York,North America,San Francisco,Silicon Valley"
David Chen,"Analytics,Big Data,Big Data Analytics,Bitcoin,Collaborative Consumption,Consumer Internet,Education,Enterprise Software,Health Care,Health Care Information Technology,Machine Learning,Marketplaces,Mobile,Mobile Health,Predictive Analytics,SaaS,Social Media,Software,Supply Chain Management,Synthetic Biology,Virtual Currency","Mountain View,Palo Alto,San Francisco,Silicon Valley"
Suewen Chin,,San Francisco
Di Huang,"Enterprise Software,Mobile Games,Networking,Online Dating,Social Commerce,Social Games,Social Media","San Francisco,Seoul,Shanghai,Silicon Valley,Tokyo"
Chris Arsenault,"B2B,Big Data,Cloud Computing,Consumer Internet,Consumers,Developer APIs,Digital Media,E-Commerce,E-Commerce Platforms,Enterprise Software,Fashion,Health and Wellness,Location Based Services,Marketplaces,Mobile,Personal Data,Personal Health,Q&amp;A,Retail,Retail Technology,SaaS,Social Commerce,Social Games,Social Media,Social Media Platforms","Calgary,Canada,Edmonton,Montreal,New York,Quebec,San Francisco,Silicon Valley,Toronto,Vancouver,Waterloo"
Kim Imamura,"Consumer Internet,Crowdfunding,E-Commerce,Social Commerce,Social Media,Social Media Marketing","New York City,San Francisco"
Sheel Tyle,"Blogging Platforms,Clean Technology,Commercial Real Estate,Consumer Internet,Digital Media,Education,Marketplaces,Mobile,Real Estate,Recruiting,Reviews and Recommendations,Social Commerce,Training","Europe,Los Angeles,Menlo Park,Mumbai,New York,New York City,Palo Alto,San Francisco,Silicon Valley"
Scott Hartig,"Education,Enterprise Software,Financial Services,Health Care Information Technology,SaaS","North America,Silicon Valley"
Andy Berman,"All Markets,Consumer Internet,Enterprise Software,Mobile","New York,San Francisco,Silicon Valley"
Adam Draper,"Advertising Platforms,Augmented Reality,Bioinformatics,Biotechnology,Bitcoin,Casual Games,Consumer Electronics,Consumer Internet,E-Commerce,Enterprise Software,Fashion,Finance Technology,Financial Exchanges,Food and Beverages,Marketplaces,Mobile,Mobile Advertising,Mobile Games,Mobile Payments,Payments,Retail,Social Games,Synthetic Biology,Video,Virtual Currency","Los Angeles,New York,Silicon Valley"
Dan Kohn,,"San Francisco,Silicon Valley"
Andrew J. Taub,"Advertising,Consumer Internet,E-Commerce,Education,Enterprise Software,Health Care,Mobile","New York City,San Francisco,Silicon Valley"
Tanveer Ali,"Analytics,Biotechnology,Chat,Clean Technology,Communications Hardware,Consumer Electronics,Consumer Internet,Digital Media,E-Commerce,Enterprise Software,Food and Beverages,Hardware,Health Care,Information Technology,Marketplaces,Messaging,Mobile,Mobile Health,Physicians,Publishing,Robotics,Small and Medium Businesses,Social Media,Synthetic Biology,Web CMS","Las Vegas,Silicon Valley,Singapore,Toronto"
John Humphrey,"Analytics,Big Data,E-Commerce,IT and Cybersecurity,Predictive Analytics,SaaS","Boston,Boulder,Florida,New York City,San Francisco"
Danny Rimer,Information Technology,"Europe,Israel,London,United States"
Glenn Laumeister,,"New York City,San Francisco"
Jeremy Liew,"Consumer Internet,Consumers,E-Commerce,Financial Services,Games,Internet,Media,Retail,Social Commerce,Social Media","San Francisco,Silicon Valley"
Christopher Perusse,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile","New York City,United States"
Dave Crowder,"Big Data,Consumer Electronics,Consumer Internet,Enterprise Software,Financial Services,Marketplaces,Mobile,Mobility,Security,Social Media,Social Media Marketing,Software","Menlo Park,Silicon Valley,Utah"
Min Liu,,"Palo Alto,Stanford"
Pedro Jorge,,
Andrew Lugsdin,"Consumer Internet,E-Commerce,E-Commerce Platforms,Enterprise Software,Mobile,Retail,SaaS,Social Commerce,Web Development,Weddings",Canada
George Kellerman,"Analytics,Android,Application Platforms,B2B,Brand Marketing,Business Intelligence,Cloud Computing,Consumer Internet,Consumers,Digital Media,E-Commerce,Education,Email,Enterprise Software,Fashion,Health Care,Information Technology,Internet Infrastructure,Internet of Things,Kids,Local,Mobile,Mobile Advertising,Mobile Payments,Parenting,Payments,Photo Sharing,Photography,Publishing,Quantified Self,Retail,SaaS,Sales and Marketing,Small and Medium Businesses,Social Commerce,Social Media,Startups,Video Streaming","Cupertino,District of Columbia,Japan,Los Angeles,Mountain View,Palo Alto,San Francisco,San Jose,Silicon Valley,Tokyo,Virginia"
Brian L. Hinman,,
Lothar Stein,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile","Munich,Silicon Valley"
Gus Warren,"Consumer Internet,Data Privacy,Personal Data,Privacy","Boston,Los Angeles,Mountain View,New York City,Palo Alto,San Francisco,Washington DC"
Andrew Cleland,"Consumer Internet,Mobile","New York,North America,Silicon Valley"
Jeff Jonas,Startups,"Las Vegas,New York City,San Francisco,Santa Monica,Singapore,Washington DC"
Brent Traidman,"Advertising,Analytics,Big Data,Bitcoin,Mobile,Mobile Advertising,Mobile Commerce,Mobile Payments,News,Social Commerce,Social Media","Belarus,Boulder,Chicago,China,Connecticut,Dallas,Dubai,Indonesia,Japan,Malaysia,New York City,Russia,San Francisco,Silicon Valley,Singapore"
Kris Robinson,,San Carlos CA
Lawrence Lenihan,"Brand Marketing,Collaboration,Content Discovery,E-Commerce,Enterprise Software,Fashion,Financial Services,Insurance,Lifestyle,Local,Marketplaces,Mobile,Personal Health,Privacy,Project Management,Retail,Retail Technology,Reviews and Recommendations,SaaS,Social Commerce","New York,New York City"
Janis Zech,"Consumer Internet,E-Commerce,Lead Generation,Marketplaces,Mobile,SaaS","Berlin,Europe,San Francisco,Silicon Valley"
Andrew Fu,"Big Data Analytics,Digital Media,Enterprise Security,Enterprise Software,Information Technology,Specialty Retail","Boston,United States"
Eric Hippeau,"Advertising,Analytics,Consumer Internet,Digital Media,Education,Mobile,News,Social Commerce,Social Games,Social Media,Social Media Platforms","New York,New York City,North America,Silicon Valley,Westport"
Lasse Pilgaard,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile","Denmark,Finland,Norway,Sweden"
Nick Weaver,"Android,Big Data,Bridging Online and Offline,Commercial Real Estate,Consumer Electronics,Consumer Internet,Content Discovery,Digital Media,Enterprise Software,Families,Food and Beverages,Golf Equipment,Hardware,Internet of Things,Marketplaces,Mobile,Mobile Payments,Photo Sharing,Photography,Quantified Self,Restaurants,Robotics,Security,Social Games,iOS","Los Angeles,New York,New York City,San Francisco,Silicon Valley"
Chaim Meir Tessler,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile","Earth,Israel,New York City,North America,San Francisco,Silicon Valley"
Aaron Price,"DIY,E-Commerce","Hoboken,New York City"
Adam London,"Consumer Internet,Enterprise Software,Fashion,Health Care,Mobile","Chicago,Detroit,Europe,New York City,North America,San Francisco,Toronto"
Keizo Tsutsui,"Consumer Internet,Enterprise Software,Mobile",Tokyo
Danny Crichton,"Analytics,Bicycles,Big Data,Bridging Online and Offline,Collaborative Consumption,Computer Vision,Consumer Internet,Databases,Digital Media,E-Commerce,Education,Email,Enterprise Software,Health Care,Human Resources,Infrastructure,Language Learning,Maps,Mobile,Peer-to-Peer,Photography,Politics,Recruiting,Search,Shared Services","Hong Kong,Japan,Korea,Palo Alto,San Francisco,Seoul,Silicon Valley,Singapore"
Keval Desai,"Advertising,Analytics,Bridging Online and Offline,Cloud Computing,Data Centers,E-Commerce,Enterprise Software,Internet,Internet TV,Mobile,SaaS,Video Games","New York City,San Francisco,Silicon Valley"
Bret Reckard,"Consumer Electronics,Consumer Internet,Enterprise Software,Hardware,Mobile",Silicon Valley
Enrique Allen,"Art,Consumer Internet,Content Discovery,Design,Digital Media,Education,Email,Families,Food and Beverages,Language Learning,Marketplaces,Mobile,Mobile Health,Outsourcing,Parenting,Photo Sharing,Photography,Printing,Sales and Marketing,Small and Medium Businesses,Social Media,Subscription Businesses,Travel,Video,iPad","New York,Palo Alto,Silicon Valley"
Alison Howard,,Cambridge MA
M. Todd Farrell,"Analytics,Big Data,Biotechnology,Consumer Electronics,Mobile,Payments","Boston,Cambridge MA,Massachusetts,New York,Palo Alto,San Francisco"
Kai von Grambusch,,
Dan Rose,,Israel
Akiko Naka,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile",Tokyo
Rustin Crandall,Education,California
Christopher Calder,"Cloud Computing,Cloud Data Services,Cloud Infrastructure,Enterprise Software,Internet of Things,Mobile,SaaS","Colorado,Idaho,Los Angeles,New Mexico,Oregon,Portland,Salt Lake City,San Diego,Santa Monica,Utah,Washington"
Gus Fuldner,"Application Platforms,Big Data,Bridging Online and Offline,Cloud Computing,Consumer Internet,Data Mining,Deep Information Technology,Disruptive Models,E-Commerce,Education,Enterprise Software,Finance Technology,Financial Services,Food and Beverages,Hardware,Health Care Information Technology,Health and Wellness,K-12 Education,Marketplaces,Mobile,Mobile Enterprise,Mobile Health,Mobile Payments,Payments,Social Media","East Coast,Milwaukee,New York,Northern California,San Francisco,Silicon Valley,Wisconsin"
Tom Frangione,"Automotive,Consumer Internet,E-Commerce,Enterprise Software,Marketplaces,Mobile","New York,Silicon Valley"
Frank Marzano,"Clean Technology,Consumer Internet,Enterprise Software,Governments,Health Care,Mobile",
Brett deMarrais,"Analytics,Android,Big Data,Brand Marketing,Business Analytics,Consumer Internet,Content Discovery,Digital Media,E-Commerce,Enterprise Software,Health Care,Investment Management,Mobile,Reputation,SaaS,Social Commerce,Social Media,Visualization,iOS",Detroit
John Lilly,"Consumers,Enterprise Software,Internet,Personal Health","Palo Alto,Silicon Valley"
Akash Shah,"Health Care,Marketplaces,Mobile",New York City
Derek Handley,"Consumer Internet,Games,Mobile,Social Games,Virtual Worlds","New York,New York City,New Zealand,Silicon Valley,Sydney"
Thijs Gitmans,"Analytics,Big Data Analytics,Bridging Online and Offline,CRM,Cloud Data Services,Collaboration,Collaborative Consumption,Consumer Internet,Content Discovery,Design,Education,Enterprise Software,Enterprises,Finance,Health and Wellness,Human Resources,Marketplaces,Mobile,Platforms,Publishing,Recruiting,SaaS,Small and Medium Businesses,Startups,Web CMS","Amsterdam,Belgium,Germany,Netherlands"
Bill Heston,"Cloud Computing,Digital Media,E-Commerce,Energy,Infrastructure,Mobile,Search,Social Media","Portland,Seattle,Silicon Valley"
Pogos Saiadian,"Bridging Online and Offline,Consumer Internet,Location Based Services,Logistics,Marketplaces,Mobile,Small and Medium Businesses,Taxis,Transportation",London
Rehan Jalil,"Android,Big Data,Commercial Real Estate,Consumer Internet,Enterprise Software,Marketplaces,Mobile,Productivity Software,Social Media Platforms","Menlo Park,New York,Silicon Valley"
Paul Goodrich,"Consumer Internet,Mobile","Los Angeles,New York,Pacific States,Seattle"
Jake Farmakis,"Mobile,Startups",New York City
Harry Weller,"Clean Technology,Communities,Consumer Internet,Deals,Education,Enterprise Software,Gamification,Mobile,Performance Marketing,Retail Technology,Reviews and Recommendations,SaaS,Small and Medium Businesses,Social Media,Social Media Marketing","Atlanta,Boston,Boulder,Chicago,New York City,Silicon Valley,Washington DC"
Antonio Rodriguez,"Advertising,Consumer Internet,Internet,Internet Infrastructure,Location Based Services,Mass Customization,Mobile,Mobile Infrastructure","Boston,New York City"
Victoria B Domalik,,
Kazuya Minami,"Advertising Exchanges,Automotive,Big Data,Consumer Internet,Consumers,Content Discovery,Digital Media,Discounts,E-Commerce,Employer Benefits Programs,Enterprise Software,Lifestyle,Local,Location Based Services,Loyalty Programs,Marketplaces,Mobile,Photo Sharing,Photography,Printing,Private Social Networking,Social Commerce,Social Media,Subscription Businesses,Venture Capital","New York,San Francisco,Silicon Valley,Tokyo"
Vanessa Castaneda,,
Tim Keebler,,
Gaurav Garg,"Audio,Cloud Infrastructure,Data Security,Enterprise Security,Information Technology,Infrastructure,Internet Infrastructure,Local,Mobile,Mobile Enterprise,Mobile Security,Photo Sharing,Productivity Software,Security,Social Travel,iPhone","Berkeley,Menlo Park,Mountain View,San Francisco,San Jose,Silicon Valley"
Ivan Retzignac,,
Ken Howery,"Artificial Intelligence,Clean Technology,Consumer Internet,Education,Enterprise Software,Health Care,Information Technology,Robotics,Space Travel","New York City,San Francisco,Silicon Valley"
Ted Clohosey,"Cloud Computing,Information Technology,Personal Branding,Retail,Retail Technology,Sales and Marketing","Europe,Germany,Ireland,Lithuania,Sweden"
Sunil Pai,"Consumer Internet,Enterprise Software,Health Care,Mobile,Social Commerce","Berkeley,Palo Alto,San Francisco"
Lori Anne Wardi,"Consumer Internet,Digital Media,Mobile,Social Media,Venture Capital","Austin,London,Miami,New York City,Silicon Valley"
Jason Heltzer,"Big Data,Consumer Internet,Financial Services,Information Technology,Internet,SaaS","Chicago,United States"
Samir Kaul,"Biotechnology,Clean Energy,Clean Technology,Energy,Health Care Information Technology,Information Technology,Life Sciences",Silicon Valley
Balaji Srinivasan,"Analytics,Big Data,Bitcoin,Consumer Internet,Cooperative,Crowdsourcing,Education,Enterprise Software,Health Care,Health Care Information Technology,Journalism,K-12 Education,Machine Learning,Mobile,Mobile Enterprise,Quantified Self,Web Development","Berkeley,Palo Alto,San Francisco,San Jose"
Ross R,"All Markets,Cloud Computing,Cloud Infrastructure,Consumer Internet,Enterprise Security,Enterprise Software,Fitness,SaaS","Arizona,Boulder,Chicago,Colorado,Denver,Idaho,Los Angeles,Massachusetts,Montana,New Mexico,New York,North America,Oregon,Orem,Portland,Provo,Salt Lake City,San Francisco,Utah"
Lindsay Ullman,"All Markets,Consumer Internet,Enterprise Software,Mobile","Boston,New York,New York City,North America"
Ruoyu Ding,"Clean Technology,Consumer Internet,Enterprise Software,Medical Devices,Mobile","Los Angeles,New York,Palo Alto,Silicon Valley"
Oisin Hanrahan,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile",United States
Will Su,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile","New York City,San Francisco"
Jared Friedman,"Communities,Consumer Internet,Digital Media,E-Books,E-Commerce,Education,Marketplaces,Mobile,Publishing,Recruiting,Social Media","New York,San Francisco,Silicon Valley"
Bob Wilson,"Advertising,Advertising Platforms,Cloud Infrastructure,Communications Infrastructure,Digital Media,Infrastructure,Internet TV,Mobile,Mobile Advertising,Online Video Advertising,TV Production,Video",Silicon Valley
Gregory Phipps,,
Blake Byers,"Consumer Internet,Life Sciences,Location Based Services,Payments","Los Angeles,New York City,Palo Alto,San Francisco"
Gary Tauss,"Consumer Internet,Enterprise Software,Health Care,Mobile,Social Media","Alabama,Vancouver"
Reham Fagiri,,
Peter Flint,"Advertising Platforms,Big Data Analytics,E-Commerce,Enterprise Software,Mobile Commerce,Mobile Enterprise,SaaS,Social Media,Social Media Platforms","Cambridge MA,New York City,Silicon Valley"
Christopher Gottschalk,"Advertising,Analytics,B2B,Big Data,Big Data Analytics,Consumer Internet,Digital Media,E-Commerce,Finance Technology,Information Technology,Marketplaces,Mobile,Predictive Analytics,SaaS,Social Media Management","Europe,New York,Silicon Valley"
Sam Stewart,"Analytics,Big Data,Consumer Internet,Nightlife,Quantified Self,Venture Capital",Sydney
Nicole LeBlanc,All Markets,"Canada,New Brunswick"
Oskar Volkland,,
Edward Yip,"Big Data,Consumer Internet,E-Commerce,Local,Mobile,Mobile Commerce,Mobile Payments,Music,Privacy,Quantified Self,Social Commerce","Austin,Boulder,New York City,San Francisco,Silicon Valley"
Marc Yi,,
Joe Kraus,"Consumer Internet,Games,Information Technology,Mobile","North America,Palo Alto,Silicon Valley"
Dan Perez,"Android,Consumer Internet,Digital Media,E-Commerce,Enterprise Software,Mobile,SaaS,Social Commerce,Social Media,Weddings,iOS","Boston,Chicago,London,Los Angeles,New York,New York City,Palo Alto,San Francisco,Silicon Valley"
Erica,,"Chicago,San Francisco"
Dennis Phelps,"Consumer Internet,Digital Media,E-Commerce,Mobile,Social Media","Los Angeles,New York City,San Francisco,Silicon Valley"
Josh Stylman,"Agriculture,Analytics,Big Data,Bridging Online and Offline,Charter Schools,Collaborative Consumption,Communities,Consumer Internet,Content,Content Discovery,Craft Beer,Design,E-Commerce,Fantasy Sports,Food and Beverages,Identity,Location Based Services,Marketplaces,Mobile,Music Services,News,Peer-to-Peer,Platforms,Publishing,Real Time,SaaS,Social Media,Sports,Ventures for Good","New York City,San Francisco,Silicon Valley"
Vamsi Sistla,"3D Printing,Analytics,Big Data,Big Data Analytics,Cloud Computing,Cloud Security,Consumer Internet,Crowdfunding,Crowdsourcing,Data Visualization,Digital Media,Entertainment,Face Recognition,Game Mechanics,Health Care Information Technology,Internet,Internet TV,Internet of Things,Location Based Services,Loyalty Programs,Marketplaces,Mobile,Mobile Payments,Music,Natural Language Processing,Payments,Personal Health,Proximity Internet,Television,Ventures for Good,Video Streaming,iOS","New Jersey,New York City,Philadelphia,Princeton"
Elon Boms,"Brand Marketing,Consumers,E-Commerce,Education,Enterprises,Finance,Health Care,Information Technology,Life Sciences,Media,Small and Medium Businesses,Sports","Boston,Massachusetts,New York City,Silicon Valley"
Kevin Liu,"Consumer Internet,Enterprise Software,Financial Services,Health Care,Marketplaces,Mobile,Mobile Payments","London,Los Angeles,New York,San Francisco,Taipei"
Thomas Byrne,"Commercial Real Estate,Consumer Internet,Content Discovery,Digital Media,Enterprise Software,Marketplaces,Mobile,Photo Sharing,Photography,Real Estate,Real Estate Investors,SaaS","San Francisco,Silicon Valley"
Valerie Aizpuru,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile","San Francisco,United States"
Patrick Gallagher,"Consumer Internet,Enterprise Software,Human Resources,Internet Infrastructure,Mobile","Earth,Europe,San Carlos CA"
Ed Sim,"Analytics,Big Data,Cloud Computing,Cloud Data Services,Data Security,Data Visualization,Enterprise Software,Infrastructure,Internet,Mobile,Mobile Enterprise,Mobile Security,Platforms,SaaS,Small and Medium Businesses","New York,New York City"
Marissa Campise,"Consumers,Internet of Things,Mobile,Retail","New York City,San Francisco"
Harry D'Andrea,,
Benjamin Tseng,"Android,Big Data,Clean Technology,Cloud Computing,Communications Hardware,Communications Infrastructure,Education,Hardware,Mobile,Mobile Health,Semiconductors","China,Japan,Silicon Valley"
Aman Ghei,"Aerospace,Analytics,Big Data,Casual Games,Consumer Internet,Deep Information Technology,Diagnostics,Digital Media,E-Commerce,Enterprise Software,Fashion,Hardware,Health Care,Health Care Information Technology,Mobile,Mobile Commerce,Mobile Games,Payments,SaaS,Sales and Marketing,Small and Medium Businesses,Social Commerce,Social Games,Social Media,Space Travel","Austria,Belarus,Belgium,Bulgaria,Croatia,Czech Republic,Denmark,Eastern Europe,Estonia,Europe,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Lithuania,London,Netherlands,Norway,Poland,Portugal,Romania,Russia,Scandinavia,Serbia,Slovenia,Southern Europe,Spain,Sweden,Switzerland,Ukraine,United Kingdom,Western Europe"
Graham Hancock,"Consumer Internet,Digital Media,Mobile,Mobile Games,Online Video Advertising,Photography,Social Media,Video","New York City,San Francisco,Texas"
Guido von Westerholt,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile","Bangkok,Berlin,Hong Kong,Jakarta,Kuala Lumpur,London,New York City,Singapore"
Stephanie Fernandez,,
Philip Rosedale,"Apps,Consumer Electronics,Consumer Internet,Content Discovery,Development Platforms,E-Commerce,E-Commerce Platforms,Education,Games,Hardware,Local Advertising,Location Based Services,Marketplaces,Mobile,Mobile Games,Product Design,Restaurants,Security,Social Games,Social Media,Video Games","San Francisco,Silicon Valley"
Quinn Goldstein,Consumer Internet,"Los Angeles,Silicon Valley"
Ajay Vashee,"Clean Technology,Consumer Internet","California,New York City,San Francisco,Seattle"
Ned Schwartz,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile","New York City,Palo Alto"
Harry Briggs,"3D Printing,Big Data,Bionic Software,CRM,Cloud Computing,Consumers,E-Commerce,E-Commerce Platforms,Education,Fashion,Marketplaces,Psychology,Recruiting,Robotics,SaaS,Social Commerce,Social Media","Copenhagen,Europe,Helsinki,London,Stockholm"
Jason Portnoy,,"Silicon Valley,Utah"
Michael Cohen,"Business Intelligence,Cloud Computing,Enterprise Software,Enterprises,Information Technology,Infrastructure,Platforms,SaaS,Social Commerce,Storage","San Francisco,Silicon Valley"
Itamar Novick,"Advertising,Advertising Platforms,Analytics,Consumer Internet,E-Commerce,Enterprise Software,Marketplaces,Mobile,Mobile Advertising,Mobile Commerce,Mobile Payments,Semantic Web,Small and Medium Businesses,Social Commerce,Social Media,Social Media Marketing,Social Media Platforms","Berkeley,California,Israel,San Francisco"
Roy Kaller,"Financial Services,Personal Finance,Semiconductors,Social Media","Arizona,Austin,Boulder,Phoenix,San Diego,Southern California"
Marissa Hu,,"Cincinnati,Los Angeles,Philadelphia"
Ahmad Jivraj,"Advertising,Advertising Platforms,Analytics,Big Data,Bridging Online and Offline,Business Services,Cloud Computing,Consumer Goods,Consumer Internet,Crowdsourcing,Design,Digital Media,E-Commerce,Education,Enterprise Software,Fashion,Food and Beverages,Games,Health and Wellness,Infrastructure,Internet,Local,Location Based Services,Maps,Marketplaces,Messaging,Mobile,Mobile Commerce,Mobile Games,Mobile Payments,Payments,Real Time,Recruiting,Restaurants,Retail,Retail Technology,SaaS,Sales and Marketing,Search,Small and Medium Businesses,Social Commerce,Social Games,Social Media,Sports,Video","Boston,Finland,North America,United Kingdom"
Chintaka Ranatunga,"Agriculture,Collaborative Consumption,Developer Tools,Mobile,Mobile Commerce,Real Time,SaaS,Social Commerce","India,Indonesia,Singapore,Sri Lanka,Thailand"
Drew Kese,,
T Peter Thomas,"Enterprise Software,SaaS","California,Redwood City,Silicon Valley"
Richard Witten,"Clean Technology,Consumer Internet,Enterprise Software,Finance Technology,Health Care,Hospitality,IT and Cybersecurity,Mobile,Real Estate","New York,New York City"
"Laurence Dunn, CFA","Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile","California,San Diego"
Bernard Liautaud,"Consumer Internet,Consumers,Enterprise Software,Internet,Mobile","Europe,London"
John Robb,"Education,Email,Enterprise Software,Financial Services,Mobile","San Francisco,Silicon Valley"
keith siilats,"Big Data,Big Data Analytics,Consumer Internet,Health Care,Health Care Information Technology,Mobile,Mobile Health,Risk Management,SaaS","New York,Palo Alto,Silicon Valley"
Shivon Zilis,"Analytics,Big Data,Cloud Data Services,Content Summarization,Data Visualization,Digital Media,Email,Email Newsletters,Enterprises,Finance,Financial Exchanges,Financial Services,Information Technology,Machine Learning,Media,Mobile,Music,Platforms,Productivity Software,Real Time,SaaS,Search,Social Media,Software,Teenagers,Video Streaming","New York City,San Francisco"
Dafeng Guo,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile","Chicago,China,Hong Kong,San Francisco"
Mark Skapinker,"Big Data,Consumer Internet,E-Commerce,Enterprise Software,Finance Technology,Gift Card,Mobile,Mobile Commerce,Mobile Emergency&amp;Health,Online Travel,SaaS","Canada,Montreal,Toronto"
David Krane,"Consumer Electronics,Consumer Internet,Digital Media,E-Commerce,Email,Energy Efficiency,Hardware,Maps,Media,Mobile,Mobile Commerce,Music,Search,Security,Social Media,Teenagers,Vacation Rentals","Austin,Los Angeles,Silicon Valley"
Alex Gould,,
Aaron Tolson,"CRM,Clean Technology,Consumer Internet,Enterprise Software,Health Care,Location Based Services,Mobile,Mobile Enterprise,Sales Automation","San Francisco,South San Francisco"
Lindsay Bressler,,
Pete Solvik,"Consumer Internet,Deep Information Technology,Enterprise Software,Hardware,Infrastructure,Internet Infrastructure,Mobile,SaaS","Danville CA,Los Angeles,San Diego,San Francisco,Seattle,Silicon Valley,Utah"
Steven Damron,,San Francisco
Tom McGovern,"Advertising,Application Platforms,Big Data,Brand Marketing,Consumer Electronics,Consumer Internet,Developer APIs,Developer Tools,Families,Hardware,Health Care Information Technology,Kids,Local Advertising,Media,Mobile,Mobile Advertising,Mobile Games,Music,Online Video Advertising,Search Marketing,Security,Social Games,Social Media,Teenagers,iPad","Los Angeles,Silicon Valley"
Adam Rodnitzky,"Peer-to-Peer,Retail,SaaS","California,San Francisco"
Anthony Meyer,"Clean Technology,Consumer Internet,Enterprise Software,Health Care,Mobile",
Tony Haile,"Analytics,Consumer Internet,Digital Media,Enterprise Software,Mobile,Real Time,SaaS","London,New York City,San Francisco,Silicon Valley"
Alexander Niehenke,"Advertising,Advertising Networks,Advertising Platforms,Augmented Reality,Consumer Internet,Crowdsourcing,Digital Media,Internet,Lead Generation,Local,Marketplaces,Mobile,Mobile Advertising,Social Media,Video","San Francisco,Silicon Valley,Southern California"
Karthik Reddy,"Clean Technology,Consumer Internet,Enterprise Software,Mobile",India
Paige Gonye,,
Will Mayo,,"New York City,San Francisco"
