"","Name","raised_amount_usd"
"MIG AG","MIG AG",6927434.54545455
"Millennium Technology Value Partners","Millennium Technology Value Partners",26084376.125
"Miramar Venture Partners","Miramar Venture Partners",8771577.59259259
"Mission Ventures","Mission Ventures",6648535.36206897
"MissionOG","MissionOG",2200000
"MK Capital","MK Capital",5932758.62068965
"MMC Ventures","MMC Ventures",3337851.38461538
"Mobeus Equity Partners","Mobeus Equity Partners",13402970
"Mobility Ventures","Mobility Ventures",7820125
"Mohr Davidow Ventures","Mohr Davidow Ventures",9417666.73652695
"Morgenthaler Ventures","Morgenthaler Ventures",11403124.2962963
"MPM Capital","MPM Capital",24350288.2898551
"Munich Venture Partners","Munich Venture Partners",5650000
"MVM Life Science Partners","MVM Life Science Partners",17181042.0714286
"Nazca Capital","Nazca Capital",13717300
"NBGI Ventures","NBGI Ventures",20978105.3636364
"NCT Ventures","NCT Ventures",3750000
"Neo Technology Ventures","Neo Technology Ventures",4700000
"Neu Venture Capital","Neu Venture Capital",2304285.71428571
"New Atlantic Ventures","New Atlantic Ventures",4708546.32758621
"New Brunswick Innovation Foundation","New Brunswick Innovation Foundation",2130000
"New Enterprise Associates","New Enterprise Associates",10123182.0415842
"New Leaf Venture Partners","New Leaf Venture Partners",16205429.2560976
"New Markets Venture Partners","New Markets Venture Partners",6110000
"NewSchools Venture Fund","NewSchools Venture Fund",2700789.47368421
"NewSpring Capital","NewSpring Capital",9439238.04347826
"NextView Ventures","NextView Ventures",1688108.10810811
"Nexus Venture Partners","Nexus Venture Partners",6477182.6875
"Nokia Growth Partners","Nokia Growth Partners",11153626.6666667
"North Bridge Venture Partners","North Bridge Venture Partners",7987999.84293194
"North Hill Ventures","North Hill Ventures",11200000
"NorthEdge Capital","NorthEdge Capital",38638912
"Northgate Capital","Northgate Capital",19301435.0454545
"Northstar Ventures","Northstar Ventures",1052299.66666667
"Northzone","Northzone",9223652.11904762
"Norwest Venture Partners","Norwest Venture Partners",9840386.6347032
"Notion Capital","Notion Capital",6134316.71428571
"Novak Biddle Venture Partners","Novak Biddle Venture Partners",6484234.14705882
"NVM Private Equity","NVM Private Equity",6388152
"O'Reilly AlphaTech Ventures","O'Reilly AlphaTech Ventures",5693290.19607843
"Oak Investment Partners","Oak Investment Partners",22086155.6585366
"Oasis 500","Oasis 500",257250
"OCA Ventures","OCA Ventures",3018102.25
"Octopus","Octopus",3887491.11594203
"Okapi Venture Capital","Okapi Venture Capital",6041111.11111111
"OMERS Ventures","OMERS Ventures",19070027.7826087
"Omidyar Network","Omidyar Network",11773166.4150943
"ONSET Ventures","ONSET Ventures",11571303.3731343
