company_name,investor_name,investor_category_code,funded_year
Sensor Tower,AngelPad,,2013
TheShelf,AngelPad,,2013
Truly Wireless,AngelPad,,2013
AppyZoo,AngelPad,,2011
ElasticBox,AngelPad,,2013
Storefront,AngelPad,,2013
SourceNinja,AngelPad,,2012
Spotsetter,AngelPad,,2013
Spotsetter,AngelPad,,2013
Runnable,AngelPad,,2013
UpCounsel,AngelPad,,2013
Adku,AngelPad,,2010
Runnable,AngelPad,,2013
LocBox Labs,AngelPad,,2012
Pogoseat,AngelPad,,2013
cisimple,AngelPad,,2013
Dro.pt,AngelPad,,2013
unamia,AngelPrime,software,2012
fanatix,Angels,,2013
Yasmo,Angels 5K,,2010
STORYS.JP,Anri Fund,,2012
Kanmu,Anri Fund,,2013
Schoo,Anri Fund,,2013
Xenapto,Anthemis Group SA,,2012
AGILE customer insight,Anthemis Group SA,,2011
CivicScience,Anzalone Liszt Research,,2011
Brightcove,AOL,news,2005
Ancestry,AOL,news,1999
KAYAK,AOL,news,2004
KAYAK,AOL,news,2004
XO Group,AOL,news,1996
Mozilla,AOL,news,2003
Extreme Enterprises,ApogeeInvent,software,2009
MIDAS Solutions,AppCampus,,2013
iRezQ,Appincloud Sweden AB,,2013
Revolve.,Appiphony,,2011
Imagination Technologies,Apple,hardware,2008
Imagination Technologies,Apple,hardware,2009
ELAN Microelectronics,Apple,hardware,2012
Collaaj,AppSense,enterprise,2012
Fariqak,Arabreneur,finance,2014
LiveTop,Arabreneur,finance,2014
Karaz,Arabreneur,finance,2014
Perfect Storm Media,Arbor Ventures,,2010
Kindling,Arc90,web,2012
MiaSol_,ArcelorMittal,,2008
Obsorb,Arch Grants,finance,2011
Material Mix,Arch Grants,finance,2012
FoodEssentials,Arch Grants,finance,2012
adFreeq,Arch Grants,finance,2013
FoodEssentials,Arch Grants,finance,2013
Genetix Fusion,Arch Grants,finance,2013
Companion Pharma,Arch Grants,finance,2012
TrakBill,Arch Grants,finance,2013
Juristat,Arch Grants,finance,2013
Streetlife,Archant,advertising,2013
Dennoo,Archetype,consulting,2013
FlyData,Archetype,consulting,2011
SPark!,Archetype Partners,finance,2012
Quixey,Archimedes Labs,mobile,2011
Blurtt,Archimedes Labs,mobile,2011
Incident Technologies,Archimedes Labs,mobile,2011
just.me,Archimedes Labs,mobile,2011
Broomstick Productions,Archimedes Labs,mobile,2011
M.dot,Archimedes Labs,mobile,2012
weendy,Archimedes Labs,mobile,2013
Retrace,Archimedes Labs,mobile,2013
xTV,Archimedes Labs,mobile,2013
Loop Survey,Archimedes Labs,mobile,2013
Big In Japan,Architel LP,network_hosting,2008
ShopSavvy,Architel LP,network_hosting,2008
ShopSavvy,Architel LP,network_hosting,2010
e27,Ardent Capital,finance,2013
Guitar Party,Arion Banki,,2012
datatracker,Arion Banki,,2012
Snjohus Software ehf.,Arion Banki,,2013
aevi,Arion Banki,,2013
Whole Sale Fund,Arizona Commerce Authority,,2012
OrangeSlyce,Arizona State University,,2010
OrangeSlyce,Arizona State University,,2009
KonaWare,Arkansas Science & Technology Authority,,2006
Ambiq Micro,ARM,,2013
Kyma Technologies,ARPA-E,search,2013
Watchwith,Arris Group,public_relations,2013
Calando Pharmaceuticals,Arrowhead Research,biotech,2011
Symbian Foundation,Artemis Joint Technology Initiative,,2010
CapLinked,Artesian,,2013
Zookal,Artesian Capital Management,,2011
Posse,Artesian Capital Management,,2010
NewsMaven,Artesian Capital Management,,2013
BuyItRideIt,Artesian Capital Management,,2013
Chinese Whispers Music,Artesian Capital Management,,2013
MemberPass,Artesian Capital Management,,2013
Choosly,Artesian Capital Management,,2013
World BX,Artesian Capital Management,,2013
Fewzion,Artesian Capital Management,,2013
The 360 Mall,Artesian Capital Management,,2013
Muziwave.com,"Artisoft Group, LLC",,2012
Player X,Arts Alliance Media,news,2005
Artisan Pharma,Asahi Kasei,,2010
Crystal IS,Asahi Kasei,,2010
Envia Systems,Asahi Kasei,,2011
rSmart,ASAHI Net,,2012
Fancloud,ASC Ticket Company,,2011
Rentify,Ashcombe Advisers,,2012
CipherMax,Askew International Corp,,2002
Boni,Aslanoba Capital,,2013
Fit&Color,Aslanoba Capital,,2013
ininal,Aslanoba Capital,,2013
Current Communications Group,"Associated Partners, LP",finance,2011
Bambuser,Associated Press,other,2013
Courtanet,Assor,,2009
Telsar Pharma,Astellas Pharma,biotech,2012
Vitrinepix,Astor Capital,web,2011
ELIKE,Astor Capital,web,2012
Nektar Therapeutics,AstraZeneca,biotech,2013
GrabCAD,Astrec Baltic,,2010
"Splashtop, Inc",Asus,hardware,2006
"Splashtop, Inc",Asus,hardware,2007
MStar Semiconductor,Asustek Holdings,,2009
Akimbo,AT&T,mobile,2006
On Networks,AT&T,mobile,2006
On Networks,AT&T,mobile,2007
Vobile,AT&T,mobile,2007
Akimbo,AT&T,mobile,2008
Sometrics,AT&T,mobile,2008
Zvents,AT&T,mobile,2008
Vlingo,AT&T,mobile,2009
picoChip,AT&T,mobile,2009
Pathfire,AT&T,mobile,2007
StartX,AT&T,mobile,2013
iStreamPlanet,AT&T,mobile,2013
Wilocity,Atheros Communications,,2013
Larotec,Athlone Global Security,,2008
PerSay,Athlone Global Security,,2006
eVigilo,AtHoc,security,2011
Node1,Atisco and associates,,2013
"Verizon Communications, Inc.",Atlantic Tele-Network,network_hosting,2010
Youboox,Atlas Editions,,2013
Cloud9 IDE,Atlassian,enterprise,2011
Socialcam,Atom Factory,games_video,2012
Tuition.io,Atom Factory,games_video,2013
Endoluminal Sciences,ATP Innovations,other,2013
Elastagen,ATP Innovations,other,2013
ticketea,Atrapalo,,2010
Ganymed Pharmaceuticals,ATS Beteiligungsverwaltung,,2013
PAYMEY,attentra GmbH,,2013
M.Setek,AU Optronics,semiconductor,2010
"Monoco, Inc.",Aucfan,ecommerce,2010
CasterStats,Audilion,,2009
Rx Networks,Audiovox Canada,,2008
ApplyInc.com,Aurelian Global,,2013
SaveMeeting,AUREN,,2011
Taggify,Aurus VC,,2012
Diagnosia,Austrian research institute FFG,,2013
Miracor Medical Systems,Austrian Research Promotion Agency,,2012
"AutoWeb, Inc.",Autobytel.com,software,2013
OnLive,Autodesk,software,2009
Vela Systems,Autodesk,software,2010
Gehry Technologies,Autodesk,software,2011
Bolt.io,Autodesk,software,2013
deviantART,Autodesk,software,2013
OwnLocal,Automattic,web,2010
WP Engine,Automattic,web,2011
ZippyKid,Automattic,web,2012
AutoRef.com,AutoScout24,transportation,2013
ADC Therapeutics,Auven Therapeutics,,2013
Stion,AVACO,,2011
Mythos,Avalis,,2010
AntVoice,Avanquest Software,software,2011
Berggi,Avanzit,software,2007
AVentures Capital,AVentures Capital,finance,2011
Coppertino,AVentures Capital,finance,2013
CheckiO,AVentures Capital,finance,2014
Pongo Resume,Avidia Bank,other,2011
BuildingLayer,Awesome Inc,other,2011
Crambu,Awesome Inc,other,2012
TagaPet,Awesome Inc,other,2012
Fanbouts,Awesome Inc,other,2012
Stadionaut,Awesome Inc,other,2011
cartmi,Axel Springer,news,2013
nextsocial,Axel Springer Plug and Play Accelerator,finance,2013
ZenGuard,Axel Springer Plug and Play Accelerator,finance,2013
Socius,Axel Springer Plug and Play Accelerator,finance,2013
embraase,Axel Springer Plug and Play Accelerator,finance,2013
get2play,Axel Springer Plug and Play Accelerator,finance,2013
1o1Media,Axel Springer Plug and Play Accelerator,finance,2013
blogfoster,Axel Springer Plug and Play Accelerator,finance,2013
VINTAGEHUB,Axel Springer Plug and Play Accelerator,finance,2013
Solid Sound Labs,Axel Springer Plug and Play Accelerator,finance,2013
ZenGuard,Axel Springer Plug and Play Accelerator,finance,2013
Asuum,Axel Springer Plug&Play Accelerator,,2013
VeteranCentral.com,AxHill LLC,,2011
Mswipe Technologies,Axis Bank,other,2014
Opanga Networks,Axtel S.A.B. de C.V,mobile,2010
Clerk,AyerViernes S.A.,software,2010
[a]list games,Ayzenberg Group,,2011
Blogic,AZ Disruptors,,2011
Socset.,Azercell,,2013
HiringThing,Babcock & Jenkins,,2012
bulletn.,Babson College,,2013
Robotgalaxy,Bachmann Industries,,2008
Robotgalaxy,Bachmann Industries,,2007
UiTV,Baidu,search,2008
AdsIt,Baidu,search,2007
Ku6,Baidu,search,2007
Anjuke,Baidu,search,2011
Qunar.com,Baidu,search,2011
Qunar.com,Baidu,search,2013
JOA Oil & Gas,Baker Hughes Nederland Holdings,,2009
Tipping Bucket,Ballard Center for Economic Self Reliance,,2009
crossvertise,Bamboo Ventures,,2012
SurveyMonkey,Bank of America Merrill Lynch,finance,2010
Onformonics,Bank of Ireland,,2009
ALCOHOOT,Bantam Funds,,2012
Help Scout,Bantam Group,,2011
Libboo,Bantam Group,,2012
