Name,AL Name,AL ID,AL Link
"Kizoo Technology Ventures","KIZOO Technology Ventures","217181","https://angel.co/kizoo-technology-ventures"
"Klass Capital","Klass Capital","164343","https://angel.co/klass-capital"
"Kleiner Perkins Caufield & Byers","Kleiner Perkins Caufield Byers","38799","https://angel.co/kleiner-perkins-caufield-byers"
"Knightship","","",""
"Kodiak Venture Partners","Kodiak Venture Partners","113042","https://angel.co/kodiak-venture-partners"
"KPCB Holdings","","",""
"KPS Capital Partners","","",""
"Kreos Capital","","",""
"Lakestar","Lakestar","150252","https://angel.co/lakestar"
"LaunchCapital","LaunchCapital","40057","https://angel.co/launchcapital"
"Lean Fund","Bullpen Capital","1981","https://angel.co/bullpen-capital"
"Learn Capital","Learn Capital","53614","https://angel.co/learn-capital"
"Leonardo Venture","","",""
"Lerer Ventures","Lerer Ventures","40265","https://angel.co/lerer-ventures"
"Lightbank","Lightbank","41357","https://angel.co/lightbank"
"Lightspeed Venture Partners","Lightspeed Venture Partners","41742","https://angel.co/lightspeed-venture-partners"
"Linseed Capital","Linseed Capital","170559","https://angel.co/linseed-capital"
"Long Ridge Equity Partners","","",""
"Longbow Capital","","",""
"Longworth Venture Partners","Longworth Venture Partners","38035","https://angel.co/longworth-venture-partners"
"Lowercase Capital","Lowercase Capital","39487","https://angel.co/lowercase-capital"
"Ludlow Ventures","Ludlow Ventures","38796","https://angel.co/ludlow-ventures"
"Lumira Capital","","",""
"Lux Capital","Lux Capital","53468","https://angel.co/lux-capital"
"Lyceum Capital","","",""
"Madrona Venture Group","Madrona Venture Group","39490","https://angel.co/madrona-venture-group"
"Mangrove Capital Partners","","",""
"Mark Ventures","Upfront Ventures","52304","https://angel.co/upfront-ventures-1"
"Marlin Equity Partners","","",""
"Marywn","","",""
"Master Minds Capital","Master Minds Capital","181615","https://angel.co/master-minds-capital"
"Matrix Partners","Matrix Partners","39528","https://angel.co/matrix-partners"
"Matrix Partners India","","",""
"Maveron","Maveron","38092","https://angel.co/maveron"
"Mayfield Fund","Mayfield Fund","37334","https://angel.co/mayfield-fund"
"Medicis Capital","","",""
"Menlo Ventures","Menlo Ventures","42375","https://angel.co/menlo-ventures"
"Mercury Fund","Mercury Fund","58274","https://angel.co/mercury-fund"
"Meridian Venture Partners","","",""
"Meritech Capital Partners","","",""
"MESA+","MESA+","131651","https://angel.co/mesa-1"
"Metamorphic Ventures","Metamorphic Ventures","43482","https://angel.co/metamorphic-ventures"
"Metric Capital Partners","","",""
"MHS Capital","MHS Capital","34468","https://angel.co/mhs-capital"
"Middleland Capital","Middleland Capital","138938","https://angel.co/middleland-capital"
"Midven","Midven","165795","https://angel.co/midven"
"MIG AG","Base Ventures","246442","https://angel.co/base-ventures"
"Millennium Technology Value Partners","Millennium Technology Value Partners","153534","https://angel.co/millennium-technology-value-partners"
